#,Word,Pinyin,Part of speech,Simple Native‑Speaker Definition (in 简单话),isAtomic,modifyee,qualifiers,comment (native thinking & specificity note),speaking commonality index,writing commonality index,isIgnored
163,前,qián,"noun (front, before)",(atomic – opposite of back),TRUE,—,—,Native thinks: “the side that faces forward; earlier time.” Basic spatial/temporal word; atomic.,95,90,
578,前后,qiánhòu,noun (front and back; around),前面和后面；大约,FALSE,面,前，后/大约,Native thinks: “both front and back; also approximately.” Not atomic; defined as 前面和后面.,70,75,
306,前天,qiántiān,noun (the day before yesterday),昨天之前的一天,FALSE,天,昨天，之前,Native thinks: “the day before yesterday.” Not atomic; defined relationally.,75,65,
305,前年,qiánnián,noun (the year before last),去年之前的一年,FALSE,年,去年，之前,Native thinks: “the year before last year.” Not atomic; defined relationally.,65,60,
866,前往,qiánwǎng,verb (to go to),去,FALSE,去,—,Native thinks: “to go to.” Use 去. Not atomic.,65,80,
1038,前提,qiántí,noun,先要有的,FALSE,先要有的,—,Native thinks: “premise.”,50,75,
577,前方,qiánfāng,"noun (ahead, front)",前面的方向,FALSE,方向,前面,Native thinks: “the direction in front.” Not atomic; defined as 前面的方向.,70,70,
1035,前景,qiánjǐng,noun,以后会怎么样,FALSE,以后,会怎么样,"Native thinks: “prospect, future.”",55,70,
1037,前期,qiánqī,noun,前面的时期,FALSE,时期,前面,Native thinks: “early stage.”,55,70,
864,前来,qiánlái,verb (to come),来,FALSE,来,—,Native thinks: “to come.” Use 来. Not atomic.,65,75,
1039,前者,qiánzhě,noun,前面说的那个,FALSE,那个,前面说,Native thinks: “the former.”,55,70,
863,前进,qiánjìn,verb (to advance),向前走,FALSE,走,向前,Native thinks: “to move forward.” Not atomic; defined as 向前走.,70,80,
865,前途,qiántú,noun (future),以后的路，希望,FALSE,希望,以后,"Native thinks: “the future path, hope.” Not atomic; defined as 未来的希望.",70,80,
119,前面,qiánmiàn,noun (front),前面的地方,FALSE,地方,前面,Native thinks: “the area in front.” Not atomic; defined as 前面的地方.,85,80,
657,剑,jiàn,noun,两面都开刃的长武器,FALSE,武器,长，两面开刃,Native thinks: “a long weapon sharp on both sides.”,55,60,
639,剧场,jùchǎng,noun (theater),看戏的地方,FALSE,地方,看戏,Native thinks: “a place to watch plays.” Not atomic; defined as 看戏的地方.,70,75,
747,剧本,jùběn,noun,演戏用的本子,FALSE,本子,演戏用,Native thinks: “script for a play.”,50,65,
750,剧烈,jùliè,adjective,很猛很重,FALSE,猛,重,"Native thinks: “intense, fierce.”",55,70,
418,剧院,jùyuàn,noun (theater),演戏的地方,FALSE,地方,演戏,Native thinks: “a place where plays are performed.” Not atomic; defined as 演戏的地方.,70,75,
651,剩,shèng,verb (to be left over),用完后还有,FALSE,有,用完后,Native thinks: “there is still some after using.” Not atomic; defined via 还有.,70,75,
1175,剩余,shèngyú,verb,用剩下的,FALSE,剩下的,用,"Native thinks: “remaining, left over.”",55,70,
567,剪,jiǎn,verb (to cut),用剪刀把东西分开,FALSE,分开,剪刀,Native thinks: “to separate using scissors.” Not atomic; defined as 用剪刀分开.,75,70,
568,剪刀,jiǎndāo,noun (scissors),两个刃的剪东西工具,FALSE,工具,两个刃,Native thinks: “a tool with two blades for cutting.” Not atomic; defined as 有双刃的工具.,75,65,
369,副,fù,"classifier (for pairs, sets)",(not used – use 个),FALSE,—,—,Native thinks: “measure word for pairs.” Ignore; use 个.,50,60,
407,副,fù,adjective,第二的，正的下面的,FALSE,第二,正的下面,"Native thinks: “secondary, below the main one.”",60,70,
441,割,gē,verb,用刀切开,FALSE,切,用刀,Native thinks: “to cut with a knife.”,65,65,
704,力,lì,noun/suffix (strength),(atomic – force or power),TRUE,—,—,Native thinks: “physical power or energy.” Basic noun; atomic.,85,90,
838,力度,lìdù,noun,力的大小,FALSE,力,大小,"Native thinks: “intensity, strength.”",55,70,
465,力气,lìqi,noun (strength),身体能用的力,FALSE,力,身体能用,Native thinks: “the power the body can use.” Not atomic; defined via 力 + 身体.,75,70,
707,力量,lìliàng,noun (strength),力,TRUE,力,—,Native thinks: “strength.” Use 力. Not atomic.,80,85,
904,劝,quàn,verb (to persuade),说让人同意,FALSE,说,让人同意,Native thinks: “to say something to make others agree.” Not atomic; defined as 劝说.,70,75,
10,办,bàn,"verb (to do, handle)",做一件事，使事完成,FALSE,做,事,Native thinks: “do a thing and make it done.” Very close to 做; defined via 做.,80,85,
12,办事,bànshì,verb (to handle matters),做事,FALSE,做,事,Native thinks: “to do things.” Use 做事. Not atomic.,80,75,
10,办公,bàngōng,"verb (to handle official business, to work)",做办公室的事,FALSE,做,办公室事,Native thinks: “to do office work.” Not atomic; defined via 做 + 办公室.,75,80,
12,办公室,bàngōngshì,noun (office),人们工作、办事用的地方,FALSE,地方,人，工作，事，用,Native thinks: “a place where people work and handle things.” Not atomic; defined via 地方.,75,80,
11,办法,bànfǎ,"noun (way, solution)",做一件事的方法或解决问题的想法,FALSE,方法,做，事，问题，解决,Native thinks: “a way to do a thing or an idea to solve a problem.” Not atomic; defined via 方法.,85,85,
11,办理,bànlǐ,"verb (to handle, to process)",同“办”,FALSE,办,—,Native thinks: “same as 办.” Use 办. Not atomic.,75,80,
251,功夫,gōngfu,"noun (kung fu, skill, effort)",花时间学会的技术或能力,FALSE,技术,花时间学,Native thinks: “skill learned through time and effort.” Not atomic; defined via 技术 + 学 + 时间.,70,65,
461,功效,gōngxiào,noun,做事的成果,FALSE,成果,做事,Native thinks: “the result of doing something.”,55,75,
411,功能,gōngnéng,noun (function),东西能做的事,FALSE,事,东西能做,Native thinks: “what something is capable of doing.” Not atomic; defined as 能做的东西.,75,85,
253,功课,gōngkè,"noun (schoolwork, homework)",学生回家做的作业,FALSE,作业,学生,Native thinks: “homework done by students.” Use 作业. Not atomic.,75,75,
195,加,jiā,verb (to add),把两个或多个东西放在一起变多,TRUE,—,—,Native thinks: “put two or more things together to increase the quantity.” Basic verb; keep atomic.,85,85,
339,加上,jiāshàng,conjunction (plus),再加上,FALSE,加,上,Native thinks: “add on top of.” Not atomic; use 再加.,70,75,
635,加以,jiāyǐ,verb / conjunction,加上 / 另外,FALSE,加,上,"Native thinks: “to apply, add” or “in addition.”",50,70,
629,加倍,jiābèi,verb / adverb,变成两倍,FALSE,变,两倍,Native thinks: “to double.”,55,70,
338,加入,jiārù,verb (join),进到一个组织或活动,FALSE,进,组织/活动,Native thinks: “to enter an organization or activity.” Not atomic; defined via 进.,75,80,
632,加剧,jiājù,verb,让坏的情况更重,FALSE,让,坏情况，更重,Native thinks: “to aggravate (a bad situation).”,50,75,
553,加工,jiāgōng,verb (to process),对原料做处理,FALSE,处理,原料,Native thinks: “to treat raw materials to make something.” Not atomic; defined as 处理原料.,65,85,
337,加强,jiāqiáng,verb (strengthen),让更强,FALSE,让,更强,Native thinks: “to make stronger.” Not atomic; defined via 更强.,70,80,
336,加快,jiākuài,verb (speed up),让速度变快,FALSE,让,速度，变快,Native thinks: “to make speed faster.” Not atomic; defined via 变快.,70,70,
342,加油,jiāyóu,verb (to refuel; cheer),给车加燃料；鼓励人,FALSE,加,油/鼓励,Native thinks: “to add fuel; also to cheer someone.” Not atomic; two senses.,80,60,
343,加油站,jiāyóuzhàn,noun (gas station),加油的地方,FALSE,地方,加油,Native thinks: “a place to refuel vehicles.” Not atomic; defined as 加油的地方.,70,65,
555,加深,jiāshēn,verb (to deepen),让变深,FALSE,让,变深,Native thinks: “to make deeper.” Not atomic; defined as 让变深.,65,75,
554,加热,jiārè,verb (to heat),加温度,FALSE,加,温度,Native thinks: “to increase the temperature.” Not atomic; defined as 加温度.,70,75,
334,加班,jiābān,verb (work overtime),在上班时间后继续工作,FALSE,工作,后，继续,Native thinks: “to continue working after regular hours.” Not atomic; defined via 工作 + 继续.,70,65,
556,加速,jiāsù,verb (to speed up),让速度变快,FALSE,让,速度快,Native thinks: “to make the speed faster.” Not atomic; defined as 让更快.,70,80,
637,加重,jiāzhòng,verb,让更重,FALSE,让,更重,Native thinks: “to increase weight or seriousness.”,60,70,
38,动,dòng,"verb (to move, to act)",(atomic – change position),TRUE,—,—,Native thinks: “to change place or position.” Basic verb; atomic.,90,85,
291,动人,dòngrén,"adjective (moving, touching)",让人感动,FALSE,让人,感动,Native thinks: “touching people’s hearts.” Not atomic; defined as 让人感动.,70,70,
167,动作,dòngzuò,"noun (movement, action)",身体做的样子,FALSE,样子,身体做,Native thinks: “a posture or movement made by the body.” Not atomic; defined via 身体 + 样子.,75,75,
318,动力,dònglì,noun,让东西动起来的力,FALSE,力,让东西动,Native thinks: “the force that makes things move.”,60,75,
321,动听,dòngtīng,adjective,听起来很好,FALSE,听,好,Native thinks: “sounds good to the ear.”,55,65,
320,动态,dòngtài,noun / adjective,变的情况,FALSE,情况,变,Native thinks: “the changing situation.”,55,75,
292,动手,dòngshǒu,verb (to start work),开始做,FALSE,开始,做,Native thinks: “to begin doing.” Not atomic; defined as 开始做.,70,70,
317,动机,dòngjī,noun,做事的心里原因,FALSE,原因,心里，做事,Native thinks: “the inner reason for doing something.”,55,75,
319,动漫,dòngmàn,noun,会动的画片,FALSE,画片,会动,Native thinks: “pictures that move (animation/cartoons).”,55,60,
103,动物,dòngwù,noun (animal),会自己活动的生物,TRUE,—,—,Native thinks: “a living thing that can move by itself.” Basic category; keep as atomic.,90,85,
104,动物园,dòngwùyuán,noun (zoo),养动物给人看的地方,FALSE,地方,养动物，给人看,Native thinks: “a place that keeps animals for people to see.” Not atomic; defined via 地方 + 养动物 + 给人看.,75,70,
290,动画,dònghuà,"noun (animation, cartoon)",动的画,FALSE,画,动,Native thinks: “pictures that move.” Not atomic; defined as 动的画.,75,75,
166,动车,dòngchē,noun (high-speed train),开得快的火车,FALSE,火车,快,Native thinks: “a fast train.” Not atomic; defined via 火车 + 快.,70,70,
1754,助手,zhùshǒu,noun,帮人,FALSE,人,帮,"Native thinks: “assistant, helper.”",65,65,
1753,助理,zhùlǐ,adjective / noun,帮,FALSE,帮,—,Native thinks: “assisting; assistant.” Use 帮.,60,70,
286,努力,nǔlì,verb/adjective (to work hard; hardworking),用心用力做事,FALSE,做,用心，用力,Native thinks: “use heart and strength to do something.” Not atomic; defined via 做 + 用心 + 用力.,85,85,
683,劳动,láodòng,noun/verb (labor; to work),做事，特别是体力,FALSE,做事,体力,"Native thinks: “to do work, especially physical.” Not atomic; defined as 干活.",70,85,
823,劳动力,láodònglì,noun,干活的人,FALSE,人,干活,Native thinks: “labor force.”,55,70,
1202,势力,shìlì,noun,能让人听的力量,FALSE,力量,能让人听,"Native thinks: “power, influence.”",55,70,
1591,勇于,yǒngyú,verb,敢,FALSE,敢,—,Native thinks: “to be brave enough to.” Use 敢.,60,65,
877,勇敢,yǒnggǎn,adjective (brave),不怕的心,FALSE,心,不怕,Native thinks: “heart that is not afraid.” Not atomic; defined as 不怕的心.,75,70,
1390,勇气,yǒngqì,noun (courage),不怕的心,FALSE,心,不怕,Native thinks: “a heart that is not afraid.” Not atomic; defined as 不怕的心.,75,80,
908,勉强,miǎnqiǎng,adjective / verb,不愿意但做 / 让自己做不愿意的事,FALSE,做 / 让,不愿意,Native thinks: “reluctant” or “to force oneself.”,65,65,
1051,勤劳,qínláo,adjective,爱做事,FALSE,爱,做事,Native thinks: “hardworking.”,65,65,
885,勤奋,qínfèn,adjective (diligent),努力,FALSE,努力,—,Native thinks: “hardworking.” Use 努力. Not atomic.,70,80,
325,勺子,sháozi,noun (spoon),舀东西的用具,FALSE,用具,舀东西,Native thinks: “a tool for scooping things.” Not atomic; defined via 用具 + 舀.,70,60,
7,包,bāo,"verb/noun/classifier (to wrap, bag; measure for bundles)",(verb: 用纸或布把东西装起来；noun: 装东西的袋子),FALSE,装/袋,用纸布，东西,Native thinks: “to wrap things; a bag.” Classifier ignored. Not atomic.,80,75,
16,包含,bāohán,verb (to contain),里面有,FALSE,有,里面,Native thinks: “to have inside.” Not atomic; defined as 里面有.,70,80,
8,包子,bāozi,noun (steamed stuffed bun),有馅的馒头,FALSE,馒头,有馅,Native thinks: “a steamed bun with filling.” Not atomic; defined via 馒头 + 有馅.,75,60,
17,包括,bāokuò,verb (to include),包含,TRUE,包含,—,Native thinks: “to contain.” Use 包含. Not atomic.,75,85,
18,包装,bāozhuāng,verb/noun (to pack; packaging),把东西包好,FALSE,包,好,Native thinks: “to wrap things neatly.” Not atomic; defined as 包好.,70,75,
15,包裹,bāoguǒ,verb/noun (to wrap; parcel),用纸或布包的东西,FALSE,东西,用纸布包,Native thinks: “something wrapped in paper or cloth.” Not atomic; defined as 包起来的东西.,70,70,
222,匆匆,cōngcōng,adjective,很快很急的样子,FALSE,样子,很快，很急,Native thinks: “in a very fast and hurried manner.”,50,65,
223,匆忙,cōngmáng,adjective,匆匆,FALSE,匆匆,—,Native thinks: “same as 匆匆.”,55,65,
497,化,huà,suffix/verb (to change),(atomic – to turn into),TRUE,—,—,Native thinks: “used to show a change of state.” Basic; atomic.,80,85,
571,化妆,huàzhuāng,verb,往脸上涂颜色让变好看,FALSE,涂,脸上，好看,Native thinks: “to put makeup on the face to look better.”,65,60,
501,化学,huàxué,noun (chemistry),学物质变化的学科,FALSE,学科,物质变化,Native thinks: “the study of how substances change.” Not atomic; defined via 学科 + 物质变化.,70,85,
569,化石,huàshí,noun,变成石头的古代动物植物,FALSE,石头,古代动植物,Native thinks: “ancient plants or animals turned to stone.”,50,65,
17,北,běi,noun (north),(atomic – one of four main directions),TRUE,—,—,Native thinks: “direction where the sun does not rise; opposite of south.” Basic direction; atomic.,60,65,
18,北方,běifāng,noun (north),北的方向,FALSE,方向,北,"Native thinks: “the direction of north, or the area in that direction.” Built from 北 + 方向.",55,60,
37,北极,běijí,noun (North Pole),地球的最北端,FALSE,端,地球，最北,Native thinks: “the northernmost point of the earth.” Not atomic; defined as 地球的北头.,60,75,
38,北美洲,Běiměizhōu,noun (North America),七大洲之一,FALSE,洲,北,Native thinks: “one of the seven continents.” Not atomic; defined as 一个洲.,55,75,
22,北部,běibù,noun (northern part),北的地方,FALSE,地方,北,Native thinks: “the area in the north.” Not atomic; defined as 北的地方.,70,75,
828,匹,pǐ,"classifier (for horses, cloth)",(not used – use 个),FALSE,—,—,Native thinks: “measure word for horses and cloth.” Ignore; use 个.,50,55,
593,区,qū,noun (district),(atomic – a part of a city),TRUE,—,—,Native thinks: “a division of a city or area.” Basic noun; atomic.,75,80,
1073,区分,qūfēn,verb,分出不同,FALSE,分,出不同,Native thinks: “to differentiate.”,60,70,
594,区别,qūbié,verb/noun (difference; to distinguish),不一样的地方；看出不一样,FALSE,地方,不一样,Native thinks: “the point of difference; to see the difference.” Not atomic; defined via 不一样.,75,80,
896,区域,qūyù,noun (region),地方,FALSE,地方,—,Native thinks: “an area or region.” Use 地方. Not atomic.,75,85,
1350,医学,yīxué,noun (medicine),医学,FALSE,学,医,Native thinks: “the study of medicine.” Not atomic; defined as 医学.,70,90,
256,医生,yīshēng,noun (doctor),看病的人,FALSE,人,看病,Native thinks: “a person who treats illness.” Not atomic; defined as 看病的人.,85,85,
1348,医疗,yīliáo,verb (medical treatment),治病,FALSE,治,病,Native thinks: “to treat illness.” Not atomic; defined as 治病.,70,85,
1540,医药,yīyào,noun,治病的东西,FALSE,药,—,Native thinks: “medicine.” Use 药.,65,70,
257,医院,yīyuàn,noun (hospital),医生工作的房子,FALSE,房子,医生工作,Native thinks: “a building where doctors work and patients stay.” Not atomic; defined via 房子 + 医生工作.,85,85,
184,十,shí,number (ten),(atomic – number 10),TRUE,—,—,Native thinks: “the number 10.” Basic number; atomic.,95,95,
657,十分,shífēn,adverb (very),很,FALSE,很,—,Native thinks: “very.” Use 很. Not atomic.,70,80,
665,十字路口,shízì lùkǒu,noun (intersection),两条路交叉的地方,FALSE,地方,两条路交叉,Native thinks: “the place where two roads cross.” Not atomic; defined as 路交叉的地方.,75,70,
1194,十足,shízú,adjective,非常够,FALSE,够,非常,"Native thinks: “full, complete, very sufficient.”",55,65,
162,千,qiān,number (thousand),(atomic – number 1000),TRUE,—,—,Native thinks: “the number 1000.” Basic number; atomic.,85,90,
575,千万,qiānwàn,adverb (ten million; by all means),一万个千；一定,FALSE,一定,—,Native thinks: “ten million; also means ‘by all means’.” Use 一定 for advice; not atomic.,65,70,
574,千克,qiānkè,classifier (kilogram),(not used – use 个 for weight),FALSE,—,—,Native thinks: “a unit of weight.” Classifier ignored; use 个.,55,65,
1033,千家万户,qiānjiā-wànhù,phrase,很多很多家,FALSE,家,很多很多,Native thinks: “countless households.”,60,55,
989,升,shēng,verb (to rise),向上,FALSE,上,向,Native thinks: “to go upward.” Use 上升. Not atomic.,75,80,
1169,升,shēng,measure word,一个容量,FALSE,个,容量,Native thinks: “liter (a unit of volume).” Use 个.,55,65,
1174,升学,shēngxué,verb,上高一级学校,FALSE,上,高一级学校,Native thinks: “to go on to a higher level of school.”,55,65,
994,升温,shēngwēn,verb (to heat up),温度变高,FALSE,变,高温度,Native thinks: “temperature becomes higher.” Not atomic; defined as 温度升高.,65,75,
993,升级,shēngjí,verb (to upgrade),升到更高级,FALSE,升,高级,Native thinks: “to move to a higher level.” Not atomic; defined as 升到更高.,70,80,
785,午餐,wǔcān,noun (lunch),中午的饭,FALSE,饭,中午,Native thinks: “midday meal.” Use 午饭. Not atomic.,70,75,
224,午饭,wǔfàn,noun (lunch),中午的饭,FALSE,饭,中午,Native thinks: “the meal eaten at noon.” Not atomic; defined via 饭 + 中午.,85,75,
7,半,bàn,number/adverb (half),二分之一,TRUE,分,二之一,Native thinks: “one of two equal parts.” Not atomic; defined as 一半.,90,80,
13,半夜,bànyè,number‑classifier/noun (midnight),晚上十二点；一夜的一半,FALSE,点/半,晚上,Native thinks: “12 o’clock at night; half the night.” Not atomic; defined via 十二点.,75,70,
13,半天,bàntiān,number‑classifier,十二个小时,FALSE,小时,十二,Native thinks: “twelve hours.” Also “a long time”. Not too specific; defined via 小时.,70,60,
1457,协会,xiéhuì,noun,一起做事的组织,FALSE,组织,一起做事,Native thinks: “association.”,55,70,
1459,协助,xiézhù,verb,帮,FALSE,帮,—,Native thinks: “to assist.” Use 帮.,60,70,
1274,协议,xiéyì,verb/noun (to agree; agreement),双方说好的事,FALSE,事,双方说好,Native thinks: “a mutually agreed‑upon matter.” Not atomic; defined as 双方同意的事.,70,85,
1458,协调,xiétiáo,adjective / verb,一起好好做 / 让一起好好做,FALSE,一起,好好做,Native thinks: “coordinated” or “to coordinate.”,55,70,
238,单,dān,adjective/adverb/noun (single; alone; bill),(atomic – one; not double),TRUE,—,—,Native thinks: “one by itself; also a list.” Basic; atomic.,70,80,
241,单一,dānyī,"adjective (single, singular)",只有一种,FALSE,种,一种,Native thinks: “having only one kind.” Not atomic; defined as 只有一种.,65,75,
134,单位,dānwèi,"noun (unit, department)",工作的地方或数量单位,FALSE,地方/单位,—,Native thinks: “a workplace; a measurement unit.” Not atomic; two senses.,80,85,
242,单元,dānyuán,noun (unit),学习或生活中的一个部分,FALSE,部分,学习/生活,Native thinks: “a section in learning or living.” Not atomic; defined as 一部分.,65,75,
239,单独,dāndú,"adverb (alone, separately)",自己一个人,FALSE,自己,一个人,Native thinks: “by oneself.” Not atomic; defined as 自己一个人.,70,75,
261,单纯,dānchún,adjective,不复杂,FALSE,不复杂,—,Native thinks: “not complicated.”,60,70,
262,单调,dāndiào,adjective,老是同一个样子,FALSE,样子,老是同一个,Native thinks: “always the same pattern.”,60,70,
117,卖,mài,verb (to sell),收钱给别人东西,TRUE,给,收钱，东西,Native thinks: “receive money and give something to someone.” Not atomic; defined via 给 + 收钱.,80,80,
274,南,nán,noun (south),(atomic – one of four main directions),TRUE,—,—,Native thinks: “the direction where the sun is at noon.” Basic direction; keep atomic.,70,70,
276,南方,nánfāng,noun (south),南的方向,FALSE,方向,南,"Native thinks: “the direction of south, or the area in that direction.” Built from 南 + 方向; not atomic.",70,75,
944,南极洲,Nánjízhōu,noun,地球最南的大洲,FALSE,洲,地球最南,Native thinks: “Antarctica.”,45,65,
945,南美洲,Nánměizhōu,noun,美洲南部的大洲,FALSE,洲,美洲南部,Native thinks: “South America.”,45,65,
522,南部,nánbù,noun (southern part),南边的部分,FALSE,部分,南边,Native thinks: “the part in the south.” Not atomic; defined as 南边的部分.,65,70,
42,博士,bóshì,noun (doctor),最高学位的人,FALSE,人,最高学位,Native thinks: “a person with the highest academic degree.” Not atomic; defined via 人 + 最高 + 学位.,70,85,
72,博物馆,bówùguǎn,noun (museum),放历史或艺术东西的房子,FALSE,房子,放历史/艺术,Native thinks: “a building that displays historical or artistic things.” Not atomic; defined as 放历史东西的房子.,75,85,
64,博览会,bólǎnhuì,noun (exposition),展览很多产品的大会,FALSE,会,展览产品,Native thinks: “a large exhibition of many products.” Not atomic; defined as 大展览.,60,80,
1468,占,zhàn,verb (to occupy),用掉,FALSE,用,掉,Native thinks: “to take up (space/time).” Not atomic; defined as 占用.,70,80,
1661,占据,zhànjù,verb,占,FALSE,占,—,Native thinks: “to occupy.” Use 占.,60,70,
1663,占有,zhànyǒu,verb,有,FALSE,有,—,"Native thinks: “to own, hold.” Use 有.",65,70,
1659,占比,zhànbǐ,noun,比例,FALSE,比例,—,"Native thinks: “proportion, percentage.” Use 比例.",55,70,
1470,占线,zhànxiàn,verb (busy line),电话打不进去,FALSE,打不进,电话,Native thinks: “the phone line is in use.” Not atomic; defined as 电话忙.,65,65,
225,卡,kǎ,noun (card),小硬纸或塑料片，有用途,FALSE,片,小，硬，纸或塑料,Native thinks: “a small hard piece of paper or plastic with a purpose.” Not atomic.,75,70,
760,卡片,kǎpiàn,noun,硬纸做的小片,FALSE,小片,硬纸,Native thinks: “card (small piece of stiff paper).”,65,60,
1204,卧室,wòshì,noun (bedroom),睡觉的房间,FALSE,房间,睡觉,Native thinks: “a room for sleeping.” Not atomic; defined as 睡觉的房间.,75,70,
774,卫生,wèishēng,adjective/noun (hygiene; clean),(atomic – cleanliness for health),TRUE,—,—,Native thinks: “being clean to protect health.” Basic noun; atomic.,75,80,
377,卫生间,wèishēngjiān,"noun (bathroom, restroom)",上厕所和洗手的地方,FALSE,地方,上厕所，洗手,Native thinks: “a place to use the toilet and wash hands.” Not atomic; defined via 地方 + 上厕所 + 洗手.,85,75,
1585,印,yìn,noun / verb,章 / 盖,FALSE,章 / 盖,—,"Native thinks: “seal, stamp” or “to print.” Use 盖 for print.",65,65,
1376,印刷,yìnshuā,verb (to print),印,FALSE,印,—,Native thinks: “to print.” Use 印. Not atomic.,70,85,
873,印象,yìnxiàng,noun (impression),心里留的样子,FALSE,样子,心里留,Native thinks: “an image left in the heart.” Not atomic; defined as 心里留的样子.,75,80,
1180,危害,wēihài,verb (to harm),带来坏处,FALSE,带,坏处,Native thinks: “to cause harm.” Not atomic; defined as 伤.,70,80,
1366,危机,wēijī,noun,很危险的时候,FALSE,时候,很危险,Native thinks: “crisis.”,65,75,
770,危险,wēixiǎn,adjective/noun (dangerous; danger),(atomic – possible harm),TRUE,—,—,Native thinks: “risk of injury or loss.” Basic adjective; atomic.,85,80,
326,即使,jíshǐ,conjunction (even if),(atomic – concessive),TRUE,—,—,"Native thinks: “even if, even though.” Basic conjunction; atomic.",70,85,
615,即便,jíbiàn,conjunction,就算,FALSE,就算,—,Native thinks: “even if.” Use 就算.,55,70,
531,即将,jíjiāng,adverb (soon),很快就要,FALSE,很快,要,Native thinks: “very soon.” Not atomic; defined as 很快.,65,80,
606,却,què,"adverb (but, yet)",(atomic – contrast),TRUE,—,—,Native thinks: “used to show unexpected contrast.” Basic conjunction; atomic.,70,80,
753,卷,juǎn,verb / noun / measure word,卷起来 / 卷好的东西 / 一个卷,FALSE,卷 / 个,起来，好的,Native thinks: “to roll” / “a roll” / measure for rolls.,65,60,
754,卷,juàn,measure word / noun,一本书,FALSE,本,书,Native thinks: “measure for books.” Use 本.,50,65,
72,厂,chǎng,"noun (factory, plant)",做东西的大房子,FALSE,房子,大，做东西,Native thinks: “a large building for manufacturing.” Not atomic; defined via 房子 + 大 + 做东西.,75,80,
137,厂商,chǎngshāng,noun,做东西和卖东西的方,FALSE,方,做东西，卖东西,Native thinks: “the party that makes and sells things.”,50,75,
134,厂家,chǎngjiā,noun,做东西的工厂或公司,FALSE,工厂,做东西,Native thinks: “a factory or company that makes things.”,55,75,
249,历史,lìshǐ,noun (history),过去发生的事,FALSE,事,过去,Native thinks: “events that happened in the past.” Not atomic; defined as 过去的事.,75,85,
840,历年,lìnián,noun,过去好多年,FALSE,年,过去，好多,Native thinks: “over the years.”,45,70,
839,历经,lìjīng,verb,经历过,FALSE,经历过,—,"Native thinks: “to experience, go through.” Use 经过.",50,70,
464,厉害,lìhai,"adjective (severe, impressive)",很强，很好,FALSE,强,很,"Native thinks: “very strong, very good.” Not atomic; defined as 很强.",80,70,
839,压,yā,verb (to press),(atomic – push down),TRUE,—,—,Native thinks: “to apply downward force.” Basic verb; atomic.,75,75,
840,压力,yālì,noun (pressure),向下压的力,FALSE,力,向下压,Native thinks: “force pushing downward.” Not atomic; defined as 向下的力.,75,85,
1322,压岁钱,yāsuìqián,noun (lucky money),过年长辈给孩子的钱,FALSE,钱,过年，长辈给孩子,Native thinks: “money given by elders to children at New Year.” Not atomic; defined as 过年的红包.,70,65,
1499,压缩,yāsuō,verb,压小,FALSE,压,小,Native thinks: “to compress.”,60,70,
66,厕所,cèsuǒ,"noun (toilet, restroom)",大小便的地方,FALSE,地方,大小便,Native thinks: “a place for using the toilet.” Not atomic; defined via 地方 + 便.,85,75,
699,厘米,límǐ,noun (centimeter),(not used – use 度 or 长度),FALSE,—,—,Native thinks: “a unit of length.” Not a root; ignore or describe as 长度.,55,70,
296,厚,hòu,adjective (thick),薄的反面,FALSE,薄,不,Native thinks: “not thin.” Use 不薄. Not atomic.,70,65,
485,厚度,hòudù,noun (thickness),厚的程度,FALSE,程度,厚,Native thinks: “the measure of how thick something is.” Not atomic; defined as 厚的程度.,65,75,
1428,原,yuán,adjective (original),(atomic – original),TRUE,—,—,Native thinks: “the initial state.” Basic; atomic.,70,85,
1623,原先,yuánxiān,noun,原来,FALSE,原来,—,"Native thinks: “former, original.” Use 原来.",60,65,
1433,原则,yuánzé,noun (principle),做事的根本规则,FALSE,规则,根本,Native thinks: “fundamental rules for doing things.” Not atomic; defined as 根本的规则.,70,90,
902,原因,yuányīn,"noun (cause, reason)",为什么发生,FALSE,为什么,—,Native thinks: “the reason why something happens.” Not atomic; defined as 为什么.,85,90,
1621,原始,yuánshǐ,adjective,最早,FALSE,最早,—,"Native thinks: “primitive, original.”",55,70,
1618,原料,yuánliào,noun,材料,FALSE,材料,—,Native thinks: “raw material.” Use 材料.,60,70,
1430,原有,yuán yǒu,adjective (original),原来就有,FALSE,有,原来,Native thinks: “had originally.” Not atomic; defined as 原来有.,65,80,
1615,原本,yuánběn,adverb,原来,FALSE,原来,—,"Native thinks: “originally, at first.” Use 原来.",65,65,
1616,原材料,yuáncáiliào,noun,做东西要用的基本材料,FALSE,材料,基本,Native thinks: “raw material.”,55,70,
900,原来,yuánlái,noun/adjective/adverb (original; originally),以前的样子,FALSE,样子,以前,Native thinks: “the former state.” Not atomic; defined as 以前的样子.,80,85,
1617,原理,yuánlǐ,noun,道理,FALSE,道理,—,Native thinks: “principle.” Use 道理.,55,75,
901,原谅,yuánliàng,verb (to forgive),不怪别人做错事,FALSE,怪,不,Native thinks: “not to blame someone for doing wrong.” Not atomic; defined as 不怪.,70,75,
94,厨师,chúshī,"noun (chef, cook)",做饭的人,FALSE,人,做饭,Native thinks: “a person who cooks.” Not atomic; defined as 做饭的人.,75,70,
93,厨房,chúfáng,noun (kitchen),做饭的地方,FALSE,地方,做饭,Native thinks: “a place for cooking.” Not atomic; defined as 做饭的地方.,80,75,
